title,description,category,resolution,priority
Oracle IOPS at 97% utilization,DynamoDB instance staging-app-26 has been at 97% memory utilization for 3 hours. Query queue is building up. Chat Service response times severely degraded. Environment: pre-prod.,Database,"1. Identify the resource-consuming queries/processes.
2. Kill any runaway queries that are not critical.
3. Vertically scale the instance (upgrade CPU/memory).
4. Optimize the top 5 most expensive queries.
5. Implement query timeout settings.
6. Set up proactive alerting at 80% utilization threshold.",High
Kubernetes pod scheduling failures in sandbox,Multiple pods for Inventory Manager are stuck in Pending state in the development cluster. kubectl describe shows insufficient CPU/memory. The Mobile team cannot deploy.,Infrastructure,"1. Check node resource utilization: `kubectl top nodes`.
2. Identify resource-hungry pods: `kubectl top pods --all-namespaces`.
3. Scale up worker node group or add new nodes.
4. Review and optimize resource requests/limits for pods.
5. Consider enabling cluster autoscaler.",High
Data exfiltration alert from DLP system,DLP system detected bulk email export of 2045 sensitive records by ananya.brown@company.com. Data classification: customer data. Destination: external USB.,Security,"1. Immediately revoke the user's access to sensitive systems.
2. Interview the user and their manager to determine intent.
3. Assess the scope of data potentially exfiltrated.
4. Engage legal/compliance team for incident documentation.
5. Implement additional DLP rules to prevent recurrence.
6. File a data breach notification if required by regulations.",Critical
API response times degraded for HR Dashboard,Average API response time for API Gateway has increased from 95ms to 8s. Users reporting slow page loads. QA dashboard shows timeout spikes. Started 5 minutes ago.,Application,"1. Check APM/tracing for slowest endpoints.
2. Identify bottleneck: database queries, external API calls, or compute.
3. Add database query indexes if N+1 queries detected.
4. Implement caching for frequently accessed data.
5. Scale horizontally if load has genuinely increased.",High
Oracle CPU at 94% utilization,Cassandra instance qa-app-19 has been at 94% CPU utilization for 10 minutes. Query queue is building up. HR Dashboard response times severely degraded. Environment: pre-prod.,Database,"1. Identify the resource-consuming queries/processes.
2. Kill any runaway queries that are not critical.
3. Vertically scale the instance (upgrade CPU/memory).
4. Optimize the top 5 most expensive queries.
5. Implement query timeout settings.
6. Set up proactive alerting at 80% utilization threshold.",High
Analytics Dashboard sending duplicate webhooks,Analytics Dashboard is sending duplicate webhooks to users. Some users received 6 copies of the same notification. Issue started after the last deployment.,Application,"1. Check message queue for duplicate entries.
2. Verify idempotency keys are being used for message dispatch.
3. Check if multiple instances of the worker are processing the same queue.
4. Add deduplication logic using message IDs.
5. Clear the affected queue and reprocess.",High
Terraform state lock stuck for QA infrastructure,Terraform state is locked for the DR infrastructure in AWS ap-southeast-1. Lock ID exists in DynamoDB/Cloud Storage. No one can apply infrastructure changes. Blocking Frontend.,Infrastructure,"1. Identify who holds the lock: check the lock metadata.
2. If the previous apply crashed, force-unlock: `terraform force-unlock <LOCK_ID>`.
3. Verify state file integrity after unlocking.
4. Run `terraform plan` to ensure no drift.
5. Implement CI-based Terraform runs to prevent manual lock conflicts.",Medium
MFA enrollment issues for QA users,3 users from Infrastructure unable to complete MFA enrollment with Google Authenticator. QR code not scanning. Users cannot access MFA-protected resources.,Access Management,"1. Reset MFA enrollment for the affected users.
2. Generate new QR codes/activation links.
3. Walk users through enrollment step-by-step.
4. Verify device time is accurate (TOTP is time-sensitive).
5. Offer alternative MFA methods (SMS/email) as backup.
6. If hardware token issue, replace the security key.",Medium
Data corruption detected in Redis for HR Dashboard,Notification Hub reporting inconsistent data from Elasticsearch. null values in NOT NULL columns found. Affects 8900 records. Likely caused by incomplete migration.,Database,"1. Immediately take a backup of the current (corrupted) state for analysis.
2. Identify the scope of corrupted records.
3. If recent, restore from the last known good backup.
4. Apply transaction logs to recover data up to the corruption point.
5. Fix the root cause (migration script, application bug, etc.).
6. Implement data integrity checks as a scheduled job.",Critical
SMTP mail server connectivity issues,Email service disrupted — email sync failing. Mail server: SES. 71 users in ML affected. Error: TLS handshake failure.,Network,"1. Check mail server status and queue depth.
2. Verify DNS MX records are correct.
3. Check TLS certificate validity on the mail server.
4. Test SMTP connectivity: `telnet mailserver 25/587`.
5. Clear stuck messages from the mail queue.
6. If cloud-hosted, check service health dashboard.",High
Shared service account password rotation for CRM Portal,"Shared service account used by Deployment Manager across Database needs password rotation. Current password has been in use for 141 days, violating 75-day rotation policy. 6 team members know the current password.",Access Management,"1. Generate a new strong password meeting policy requirements.
2. Update the password in the identity provider.
3. Update all services/scripts using this credential.
4. Store new password in shared password manager (Vault/1Password).
5. Revoke knowledge of old password from team members.
6. Consider replacing shared accounts with per-user service accounts.
7. Implement automated rotation via secret management tool.",High
Suspicious login attempts detected for amit.taylor@company.com,Security alert: 195 failed login attempts detected for account ravi.gupta@company.com from IP 11.195.239.122 (unknown VPN). Account may be under brute-force attack. Current status: account locked.,Security,"1. Temporarily lock the affected user account.
2. Block the source IP at the WAF/firewall level.
3. Reset the user's password and require MFA reenrollment.
4. Review login audit logs for any successful unauthorized access.
5. Notify the user and their manager about the incident.
6. Add the IP range to the threat intelligence blocklist.",Critical
Password reset request for AD account,ravi.johnson@company.com from ML requesting password reset for their primary AD account. Reason: account shows compromised warning. Identity verified via phone call.,Access Management,"1. Verify user identity through approved verification method.
2. Reset password to a temporary value meeting complexity requirements.
3. Set ""must change at next login"" flag.
4. Communicate temporary password via secure channel.
5. Confirm user can log in successfully.
6. If compromised warning: review login history and enable MFA.",Low
